"SBD","NV1.N","NV1.TH","NV2.N","NV2.TH","NV3.N","NV3.TH","NV4.N","NV4.TH"
"TLA052015","CN2","Toan,Ly,Hoa,1","CN3","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"KTA061480","KQ3","Toan,Van,Anh,0",NA,NA,NA,NA,NA,NA
"KTA057540","KT31","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"BKT080452","KT21","Toan,Ly,Hoa,1","KT41","Toan,Ly,Hoa,0","KT13","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"TMA068617","KT11","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"BKT093962","KT52","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"KTA062920","KT52","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"TLA081014","CN2","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"TMA029969","KT12","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1"
"TLA014560","CN2","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1"
"TLA040770","KT41","Toan,Hoa,Anh,0","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA
"ABC093108","KT12","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1"
"ABC003061","KT13","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","KT31","Toan,Hoa,Anh,1"
"TLA091070","KQ3","Toan,Van,Anh,0",NA,NA,NA,NA,NA,NA
"ABC084967","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1"
